,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
System Parameters (defined by hardware),,,,Profiles (usage of each component mode - defined by software and usage),,,,,,,,,,,,
,form the datasheets,,,,,,,,,,,,,,,
,,,,"""off""","""sensing""","""interactive""",,,,,,,,,,
Esp32-wroom（LoadCell）,,,,,,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.espressif.com/sites/default/files/documentation/esp32_datasheet_en.pdf,,,,,,,,,
Active,66,mW,,0%,2%,5%,,,,,,,,,,
Idle,10,mW,,0%,18%,30%,,,,,,,,,,
Sleep,0.0165,mW,,100%,80%,65%,,,,,,,,,,
,,,,,,,,,,,,,,,,
Load Cell,,,,,,,,,,,,,,,,
Active,25,mW,,0%,2%,3%,,,,,,,,,,
Idle,2.5,mW,,0%,95%,20%,,,,,,,,,,
Off,0,mW,,100%,3%,77%,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
HX711,,,,,,,,,,,,,,,,
Active,5,mW,,0%,2%,3%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://cdn.sparkfun.com/datasheets/Sensors/ForceFlex/hx711_english.pdf,,,,,,,,,
Idle,0.3,mW,,0%,95%,20%,,,,,,,,,,
Off,0.001,mW,,100%,3%,77%,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Total power in profile (mw),,,Maximum Time ,,
,,,,,,,,,,,"""off""",2%,mW,95142.9,hours,
,,,,,,,,,,,"""sensing""",639%,mW,260.4,hours,
,,,,,,,,,,,"""interactive""",777%,mW,214.2,hours,
,,,,,,,,,,,,,,,,
,,,,0,22,3,hours/day typical usage,,,,Effective Battery Capacity,,,,,
Battery,,,,,,,,,,,,166500%,mW*h,,,
Capacity,500,mAh,,,,,,,,,,,,,,
Nominal Voltage,3.7,V,,,,,,,,,Days of Use,10.15,days,,,
Regulator Efficiency,90%,,,,,,,,,,Hours of Use,243.71,hours,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
REFLECTIONS : WHAT DID YOU LEARN FROM ANALYZING YOUR POWER.  TALK ABOUT SOME POTENTIAL TRADEOFFS. ,,,,,,,,,,,,,,,,
"1. My metric was the max time estimation of my cat could use the litter box per day, which I set was 10 times per day. Eachmeasure time will be 5 minutes, so I cauculated the active time of the stepper motor and esp32 based on this metic.",,,,,,,,,,,,,,,,
"2. By calculating the daily battery usage with a regulator efficiency of 90%, I think 500mAh with 3.7V battery will ensure a 3-5 days usage.",,,,,,,,,,,,,,,,
"3. Since the device was set to be triggered once the cat enter the litter box, therefore the load cell and HX711 need to be set to monitor mode instead of deep sleep. But to ensure power saving, the frequency of the data collecting need to be reduced.",,,,,,,,,,,,,,,,
